p_atmos [Pa],p_inlet [Pa],p_throat [Pa],p_outlet [Pa],p_throat / p_atmos [-]
102510.0,102224.0,91010.0,100510.0,0.887816
102510.0,102125.0,83210.0,99510.0,0.811726
102510.0,102050.0,76510.0,98510.0,0.746366
102510.0,101988.0,69010.0,97510.0,0.673203
102510.0,101960.0,63110.0,96510.0,0.615647
102510.0,101948.0,59010.0,95510.0,0.575651
102510.0,101946.0,56010.0,94510.0,0.546386
102510.0,101943.0,52510.0,93510.0,0.512243
102510.0,101945.0,50510.0,92510.0,0.492732
102510.0,101943.0,49410.0,91510.0,0.482002
102510.0,101943.0,49310.0,90510.0,0.481026
